County,LAT,LON,Event,date,Place,Deaths†,Injured†,Missing†,Houses Destroyed†,Houses Damaged†,Victims†,Affected†,Relocated†,Evacuated†,Damages in crops Ha.†,Comments
KILIFI,-3.753063173,39.73583711,DROUGHT,9/4/2009,Ziani,,,,,,,3,,,,
TAITA TAVETA,-3.7292881,38.74984998,DROUGHT,1/3/2011,,,,,,,,12540,,,,
TAITA TAVETA,-3.7292881,38.74984998,DROUGHT,1/8/2009,Voi,,,,,,,,,,,
KILIFI,-3.548200024,39.68698005,DROUGHT,1/3/2011,,,,,,,,103631,,,,
KILIFI,-3.548200024,39.68698005,DROUGHT,1/8/2009,Ganze,,,,,,,,,,,
TAITA TAVETA,-3.524380301,38.33252949,DROUGHT,1/3/2011,Taita,,,,,,,40530,,,,
TAITA TAVETA,-3.524380301,38.33252949,DROUGHT,1/3/2011,,,,,,,,12540,,,,
TAITA TAVETA,-3.524380301,38.33252949,FLOOD,6/1/2010,Bura - Hirimani,,,,,,,5000,,,,
TAITA TAVETA,-3.524380301,38.33252949,DROUGHT,2/28/2011,,,,,,,,,,,,
TAITA TAVETA,-3.524380301,38.33252949,DROUGHT,1/8/2009,Bura,,,,,,,,,,,
TAITA TAVETA,-3.524380301,38.33252949,DROUGHT,1/8/2009,Mwatate,,,,,,,,,,,
KILIFI,-3.489945669,39.85727307,DROUGHT,1/3/2011,Kilifi,,,,,,,12433,,,,
KILIFI,-3.489945669,39.85727307,DROUGHT,9/4/2009,Matsangoni,,,,,,,3,,,,
KILIFI,-3.454136829,39.36724869,DROUGHT,9/10/2009,Bamba,,,,,,,,,,,
TAITA TAVETA,-3.372415026,37.70861335,DROUGHT,1/8/2009,Taveta,,,,,,,122599,,,,
TAITA TAVETA,-3.372415026,37.70861335,DROUGHT,2/28/2011,,,,,,,,20562,,,,
TAITA TAVETA,-3.372415026,37.70861335,DROUGHT,1/3/2011,,,,,,,,11580,,,,
TAITA TAVETA,-3.372415026,37.70861335,DROUGHT,3/2/2012,,,,,,,,,,,,
TAITA TAVETA,-3.372415026,37.70861335,FLOOD,1/11/2008,Kimorigo,,,,,,,,,,,
KILIFI,-3.371716712,39.85368794,DROUGHT,9/3/2011,,,,,,,,45305,,,,
KILIFI,-3.371716712,39.85368794,DROUGHT,1/3/2011,Magarini,,,,,,,15350,,,,
KILIFI,-3.371716712,39.85368794,DROUGHT,1/3/2011,Rabai,,,,,,,1893,,,,
KILIFI,-3.371716712,39.85368794,FLOOD,10/28/2009,,,,,,,,400,,,,
KILIFI,-3.371716712,39.85368794,EPIDEMIC,1/1/2009,Kilifi,,,,,,,4,,,,Incidences of cholera were reported as from January to June 2009
KILIFI,-3.355025169,39.68751945,FLOOD,10/13/2011,Rare river,3,6,,,,,,,,,
TAITA TAVETA,-3.336923645,38.43206498,DROUGHT,2/3/2009,,,,,,,,122599,,,,
TAITA TAVETA,-3.336923645,38.43206498,FLOOD,7/11/2008,"Kimorigo, Eldoro, Gotini, Lotima",,,,,,,100,,,,runoff water from Mt Kilimanjaro and overflow from River Lumi
TAITA TAVETA,-3.336923645,38.43206498,DROUGHT,9/4/2009,,,,,,,,28,,,,
TAITA TAVETA,-3.284490309,38.28508482,LANDSLIDE,11/12/2007,Mbale location,3,,,,,,,,,,"3 members of one family(father, mother, child), one child left destitute"
TAITA TAVETA,-3.284490309,38.28508482,DROUGHT,1/3/2011,,,,,,,,,,,,
TAITA TAVETA,-3.284490309,38.28508482,DROUGHT,1/8/2009,Wundanyi,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,DROUGHT,1/3/2011,,,,,,,,32850,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,2/11/2009,Bungale road,,,,,,,8000,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,1/11/2009,Kanagoni village,2,,,466,,,5000,2330,,,1000 households were affected
KILIFI,-2.859147262,40.11661037,FLOOD,4/13/2013,Magarini,1,,,,,,2000,,,,One person died while two were rescued after their boat capsized.
KILIFI,-2.859147262,40.11661037,FLOOD,6/1/2010,"Kipangangeni, Majahazini, Mwangatini villages",,,,,,,419,,,,
KILIFI,-2.859147262,40.11661037,EPIDEMIC,1/1/2009,Malindi,,,,,,,16,,,,Incidences of cholera were reported as from January to June 2009
KILIFI,-2.859147262,40.11661037,FLOOD,2/11/2009,Lamu rd,2,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,2/11/2009,Malindi/Garsen,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,12/27/2009,Malindi/Garsen road,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,10/28/2009,Lamu/Malindi road,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,FLOOD,10/28/2009,,,,,,,,,200,,,
KILIFI,-2.859147262,40.11661037,DROUGHT,2/28/2011,,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,DROUGHT,1/8/2009,Magarini,,,,,,,,,,,
KILIFI,-2.859147262,40.11661037,DROUGHT,1/4/2010,Magarini,,,,,,,,,,,
KILIFI,-2.827745482,39.64577337,DROUGHT,1/3/2011,,,,,,,,12433,,,,
KILIFI,-2.827745482,39.64577337,FLOOD,10/28/2009,,,,,,,,500,,,,
KILIFI,-2.827745482,39.64577337,FLOOD,6/1/2010,Ganda,,,,,,,200,,,,A big trench was created across the road
KILIFI,-2.827745482,39.64577337,FLOOD,6/1/2010,,,,,,,,49,,,,9 families were left homeless after houses were submerged in floods
KILIFI,-2.827745482,39.64577337,FLOOD,4/29/2010,Goshi area - River Sabaki,,,,,,,,,,,
KILIFI,-2.827745482,39.64577337,DROUGHT,1/8/2009,Malindi,,,,,,,,,,,
KILIFI,-2.827745482,39.64577337,DROUGHT,9/4/2010,,,,,,,,,,,,
KILIFI,-2.827745482,39.64577337,FLOOD,1/3/2012,,,,,,,,,,,,
KILIFI,-2.827745482,39.64577337,DROUGHT,1/4/2010,Langobaya,,,,,,,,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,6/1/2010,Baricho and Dakacha villages,,,,,,,1200,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Watala village,,,,,,,1160,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Kanyumbuni village,,,,,,,1150,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Chamari Village,,,,,,,1080,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Garashi,,,,,,,180,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Kambicha village,,,,,,,75,,,,
KILIFI,-2.789251387,39.86693084,FLOOD,1/11/2009,Adu,,,,,,,45,,,,
KILIFI,-2.789251387,39.86693084,DROUGHT,8/4/2009,,,,,,,,,,,,
KILIFI,-2.789251387,39.86693084,DROUGHT,1/4/2010,Marafa,,,,,,,,,,,
KAJIADO,-2.677131981,37.42158333,DROUGHT,1/3/2011,,,,,,,,,,,,
KAJIADO,-2.677131981,37.42158333,DROUGHT,1/8/2009,,,,,,,,,,,,
KAJIADO,-2.677131981,37.42158333,FLOOD,4/24/2012,Intilal location,,,,,,,,,,,100 homesteads with all the properties were swept
MAKUENI,-2.585355836,38.16737924,FLOOD,11/13/2008,Kambu,2,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,MTITO ANDEI,,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,KATHEKANI,,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,KAMBU,,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,NGWATA,,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,NTHONGONI,,,,,,,,,,,
MAKUENI,-2.585355836,38.16737924,DROUGHT,1/5/2010,NZAMBANI,,,,,,,,,,,
MAKUENI,-2.539046607,37.83701493,EPIDEMIC,9/29/2009,Makueni district,3,,,,,,6,,,,
MAKUENI,-2.539046607,37.83701493,FLOOD,1/14/2010,,,,,10,,,,,,,
MAKUENI,-2.539046607,37.83701493,DROUGHT,1/3/2011,,,,,,,,,,,,
MAKUENI,-2.539046607,37.83701493,DROUGHT,11/3/2011,,,,,,,,,,,,
MAKUENI,-2.539046607,37.83701493,DROUGHT,1/8/2009,Makueni,,,,,,,,,,,
MAKUENI,-2.539046607,37.83701493,DROUGHT,1/5/2010,UKIA,,,,,,,,,,,
KITUI,-2.455895565,38.4842857,DROUGHT,9/4/2009,,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Baomo,,,,138,,,1051,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Kiambeni,,,,172,,,915,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Miyesa,,,,136,,,876,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Mikameni,,,,86,,,762,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Umoja/ Minjila,,,,127,,,734,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Kokan Farm,,,,112,,,711,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Tawakal,,,,107,,,678,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Choa,,,,82,,,548,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Eskedek,,,,60,,,455,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,10/28/2009,Tarasaa,,,,230,,,400,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/25/2010,Ngumo,,,,39,,,212,,,,People affected are located in the relocation camps
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Dobale,,,,193,,,,,,,193 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Bilisa-Korlabe C,,,,180,,,,,,,180 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Bilisa-Korlabe A,,,,176,,,,,,,176 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Bilisa-Korlabe B,,,,165,,,,,,,165 Household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (senangu),,,,160,,,,,,,110 household were affected
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Salama (Kiembeni),,,,150,,,,,,,150 household were affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Miyesa,,,,147,,,,,,,147 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Konemansa(Mwanja village),,,,142,,,,,,,142 household were affected. 
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Salama (Tawakal),,,,125,,,,,,,125 Household were affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Huluba),,,,112,,,,,,,112 house hold affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Godhey),,,,110,,,,,,,110 household were affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Tulichani),,,,98,,,,,,,98 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Galili-Wolkon,,,,91,,,,,,,91 household were affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Eskadek),,,,86,,,,,,,86 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Salama (peponi),,,,79,,,,,,,79 household were destroyed.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina-Lazima A,,,,70,,,,,,,70 House hold were affected
